Date,Time,average_temp,average_humidity
2020-11-07, 13:00:31,0.0,0.0
2020-10-22, 00:00:01,23.433333333333334,96.3
2020-10-22, 00:00:31,23.433333333333334,96.26666666666667
2020-10-22, 00:00:46,23.46666666666667,96.2
2020-10-22, 01:00:01,23.3,96.36666666666667
2020-10-22, 01:00:16,23.26666666666667,96.13333333333333
2020-10-22, 01:00:31,23.3,96.16666666666667
2020-10-22, 02:00:16,22.96666666666667,96.26666666666667
2020-10-22, 02:00:31,22.900000000000002,96.26666666666667
2020-10-22, 02:00:46,22.866666666666664,96.26666666666667
2020-10-22, 03:00:01,22.599999999999998,96.63333333333333
2020-10-22, 03:00:16,22.566666666666663,96.5
2020-10-22, 03:00:46,22.599999999999998,96.43333333333334
2020-10-22, 04:00:16,22.833333333333332,96.2
2020-10-22, 04:00:46,22.86666666666667,96.16666666666667
2020-10-22, 05:00:01,22.7,96.2
2020-10-22, 05:00:16,22.7,96.10000000000001
2020-10-22, 05:00:31,22.7,96.03333333333335
2020-10-22, 05:00:46,22.7,96.03333333333335
2020-10-22, 09:00:01,31.066666666666666,85.96666666666665
2020-10-22, 09:00:30,31.633333333333336,83.76666666666667
2020-10-22, 10:00:01,31.899999999999995,76.53333333333333
2020-10-22, 10:00:31,31.866666666666664,78.03333333333333
2020-10-22, 11:00:01,29.833333333333332,89.7
2020-10-22, 11:00:31,30.233333333333334,89.06666666666666
2020-10-22, 12:00:01,36.36666666666667,56.6
2020-10-22, 12:00:31,36.1,58.56666666666666
2020-10-22, 13:00:01,27.5,93.36666666666667
2020-10-22, 13:00:31,27.599999999999998,93.5
2020-10-22, 14:00:01,33.699999999999996,68.86666666666666
2020-10-22, 14:00:31,33.9,68.3
2020-10-22, 15:00:01,29.3,77.83333333333333
2020-10-22, 15:00:31,28.933333333333334,77.2
2020-10-22, 16:00:01,30.900000000000002,70.93333333333334
2020-10-22, 16:00:31,30.8,72.2
2020-10-22, 17:00:31,26.316666666666666,89.44999999999999
2020-10-22, 18:00:31,24.633333333333336,94.33333333333333
2020-10-22, 20:00:01,23.633333333333336,95.93333333333334
2020-10-22, 20:00:31,23.599999999999998,95.83333333333333
2020-10-22, 21:00:01,22.866666666666664,96.3
2020-10-22, 22:00:31,22.4,96.63333333333333
2020-10-23, 00:00:31,21.666666666666668,96.3
2020-10-23, 01:00:31,21.666666666666668,96.3
2020-10-23, 02:00:31,21.2,95.96666666666665
2020-10-23, 03:00:01,21.233333333333334,95.96666666666665
2020-10-23, 05:00:31,21.0,95.63333333333333
2020-10-23, 08:00:01,33.06666666666667,63.36666666666667
2020-10-23, 08:00:31,33.1,64.3
2020-10-23, 09:00:01,34.46666666666667,51.13333333333333
2020-10-23, 09:00:31,34.56666666666666,52.0
2020-10-23, 10:00:01,34.199999999999996,52.699999999999996
2020-10-23, 10:00:31,34.666666666666664,51.800000000000004
2020-10-23, 11:00:01,33.06666666666666,56.43333333333334
2020-10-23, 11:00:31,32.7,56.5
2020-10-23, 12:00:31,35.86666666666667,53.05
2020-10-23, 13:00:31,34.266666666666666,55.333333333333336
2020-10-23, 14:00:31,29.116666666666667,75.0
2020-10-23, 15:00:31,32.33333333333333,58.3
2020-10-23, 16:00:31,28.883333333333336,73.36666666666667
2020-10-23, 17:00:31,26.7,88.16666666666667
2020-10-23, 18:00:31,24.933333333333334,93.53333333333335
2020-10-23, 19:00:31,23.116666666666667,95.48333333333332
2020-10-23, 20:00:31,22.566666666666666,96.33333333333333
2020-10-23, 23:00:31,21.96666666666667,96.3
2020-10-24, 01:00:01,21.833333333333332,95.93333333333334
2020-10-24, 02:00:31,21.53333333333333,96.03333333333335
2020-10-24, 03:00:31,21.3,95.7
2020-10-24, 04:00:01,21.0,95.63333333333333
2020-10-24, 04:00:31,21.0,95.63333333333333
2020-10-24, 09:00:01,35.13333333333333,58.300000000000004
2020-10-24, 09:00:31,34.6,58.699999999999996
2020-10-24, 10:00:31,33.76666666666667,61.26666666666667
2020-10-24, 11:00:01,34.7,58.93333333333334
2020-10-24, 12:00:01,29.633333333333336,89.8
2020-10-24, 13:00:01,30.333333333333332,84.93333333333334
2020-10-24, 13:00:31,30.266666666666666,82.7
2020-10-24, 14:00:01,32.666666666666664,73.7
2020-10-24, 14:00:32,32.233333333333334,75.03333333333333
2020-10-24, 15:00:01,33.50000000000001,68.56666666666666
2020-10-24, 15:00:31,33.73333333333333,67.93333333333334
2020-10-24, 16:00:00,29.53333333333333,81.83333333333333
2020-10-24, 16:00:31,29.333333333333332,84.26666666666667
2020-10-24, 17:00:35,27.133333333333336,91.43333333333334
2020-10-24, 18:00:01,24.7,96.06666666666666
2020-10-24, 20:00:31,23.3,96.46666666666665
2020-10-24, 21:00:01,23.0,96.43333333333334
2020-10-24, 22:00:01,22.46666666666667,96.5
2020-10-24, 22:00:31,22.5,96.63333333333333
2020-10-24, 23:00:31,22.03333333333333,96.03333333333335
2020-10-25, 00:00:31,21.7,95.93333333333334
2020-10-25, 01:00:01,21.3,95.93333333333334
2020-10-25, 02:00:01,21.0,95.56666666666666
2020-10-25, 06:00:01,20.099999999999998,95.3
2020-10-25, 07:00:30,25.833333333333332,91.63333333333333
2020-10-25, 08:00:02,32.56666666666667,67.53333333333333
2020-10-25, 08:00:31,32.6,68.36666666666666
2020-10-25, 09:00:01,34.666666666666664,53.166666666666664
2020-10-25, 09:00:31,34.8,53.36666666666667
2020-10-25, 10:00:01,36.36666666666667,46.699999999999996
2020-10-25, 10:00:31,36.333333333333336,46.300000000000004
