average_internal_temp,average_internal_humidity,light
23.433333333333334,96.3, 1.042
23.3,96.36666666666667, 1.042
22.96666666666667,96.26666666666667, 1.042
22.599999999999998,96.63333333333333, 1.042
22.833333333333332,96.2, 1.042
22.7,96.2, 1.042
,,
,,
29.833333333333332,83.13333333333334, 6999.17
31.066666666666666,85.96666666666665, 15679.6
31.899999999999995,76.53333333333333, 8890.42
29.833333333333332,89.7, 14612.1
36.36666666666667,56.6, 7367.92
27.5,93.36666666666667, 6200.42
33.699999999999996,68.86666666666666, 12019.2
29.3,77.83333333333333, 2979.17
30.900000000000002,70.93333333333334, 2502.08
26.3,88.93333333333334, 911.25
24.633333333333336,94.33333333333333, 12.5
24.0,95.3, 1.042
23.633333333333336,95.93333333333334, 1.042
22.866666666666664,96.3, 1.042
22.366666666666664,96.63333333333333, 1.042
22.03333333333333,96.3, 1.042
21.666666666666668,96.3, 1.042
21.666666666666668,96.3, 1.042
21.2,95.96666666666665, 1.042
21.233333333333334,95.96666666666665, 1.042
21.2,95.96666666666665, 1.042
21.0,95.63333333333333, 1.042
21.066666666666666,95.96666666666665, 199.167
27.100000000000005,89.23333333333333, 3901.67
33.06666666666667,63.36666666666667, 7495.83
34.46666666666667,51.13333333333333, 11427.5
34.199999999999996,52.699999999999996, 17951.7
33.06666666666666,56.43333333333334, 6266.25
35.7,53.36666666666667, 27306.2
34.266666666666666,55.76666666666667, 18623.3
29.2,73.89999999999999, 5321.67
32.266666666666666,57.699999999999996, 6804.58
28.900000000000002,74.10000000000001, 2915.83
26.7,88.16666666666667, 1092.5
24.933333333333334,93.53333333333335, 9.167
23.133333333333336,95.56666666666666, 1.042
22.566666666666666,96.33333333333333, 1.042
21.966666666666665,96.3, 1.042
21.8,96.3, 1.042
21.96666666666667,96.3, 1.042
21.966666666666665,95.83333333333333, 1.042
21.833333333333332,95.93333333333334, 1.042
21.53333333333333,96.03333333333335, 1.042
21.3,95.7, 1.042
21.0,95.63333333333333, 1.042
21.433333333333334,95.96666666666665, 1.042
21.566666666666666,96.3, 66.667
23.433333333333334,95.33333333333333, 0
26.933333333333334,90.46666666666665, 5486.67
35.13333333333333,58.300000000000004, 8742.5
33.76666666666667,61.26666666666667, 16502.9
34.7,58.93333333333334, 27306.2
29.633333333333336,89.8, 10947.5
30.333333333333332,84.93333333333334, 9219.58
32.666666666666664,73.7, 6737.08
33.50000000000001,68.56666666666666, 7692.92
29.53333333333333,81.83333333333333, 2365
27.133333333333336,91.43333333333334, 1543.33
24.7,96.06666666666666, 6.458
24.03333333333333,96.63333333333333, 1.042
23.3,96.46666666666665, 1.042
23.0,96.43333333333334, 1.042
22.46666666666667,96.5, 1.042
22.03333333333333,96.03333333333335, 1.042
21.7,95.93333333333334, 1.042
21.3,95.93333333333334, 1.042
21.0,95.56666666666666, 1.042
20.900000000000002,95.63333333333333, 1.042
21.099999999999998,95.63333333333333, 1.042
20.333333333333332,95.3, 1.042
20.099999999999998,95.3, 123.75
25.833333333333332,91.63333333333333, 3522.08
32.56666666666667,67.53333333333333, 7193.75
34.666666666666664,53.166666666666664, 10475.8
36.36666666666667,46.699999999999996, 14357.9
35.76666666666667,48.6, 22792.1
38.733333333333334,43.73333333333333, 26467.1
33.766666666666666,60.0, 9883.33
37.46666666666666,47.93333333333334, 11719.2
35.96666666666667,49.800000000000004, 8783.75
32.333333333333336,61.86666666666667, 3286.25
28.46666666666667,80.16666666666667, 1115.42
25.566666666666666,94.26666666666667, 4.167
24.400000000000002,95.66666666666667, 1.042
24.166666666666668,95.8, 1.042
23.566666666666666,96.53333333333335, 1.042
23.400000000000002,96.63333333333333, 1.042
23.0,96.63333333333333, 1.042
22.733333333333334,96.63333333333333, 1.042
22.46666666666667,96.63333333333333, 1.042
22.066666666666666,96.26666666666667, 1.042
21.833333333333332,96.3, 1.042
21.233333333333334,95.96666666666665, 1.042
21.233333333333334,95.96666666666665, 1.042
20.96666666666667,95.63333333333333, 118.333
27.066666666666666,89.93333333333334, 3910
32.333333333333336,61.96666666666667, 5886.25
36.26666666666667,49.23333333333333, 13061.2
35.766666666666666,52.53333333333333, 14989.2
38.699999999999996,43.9, 27306.2
39.6,41.63333333333333, 25729.6
33.333333333333336,62.9, 14391.2
33.6,60.76666666666667, 8490.83
33.9,58.9, 7275
31.166666666666668,73.63333333333334, 3857.08
27.96666666666667,92.23333333333333, 671.667
25.53333333333333,95.56666666666666, 5.625
24.73333333333333,96.56666666666666, 1.042
24.5,96.63333333333333, 1.042
24.233333333333334,96.63333333333333, 1.042
24.366666666666664,96.63333333333333, 1.042
24.0,96.63333333333333, 1.042
23.866666666666664,96.63333333333333, 1.042
24.266666666666666,96.63333333333333, 1.042
23.933333333333334,96.63333333333333, 1.042
24.03333333333333,96.63333333333333, 1.042
23.400000000000002,96.63333333333333, 1.042
22.833333333333332,96.63333333333333, 1.042
22.733333333333334,96.63333333333333, 62.917
25.46666666666667,96.13333333333333, 2716.25
27.933333333333334,93.2, 3764.17
31.5,78.13333333333334, 8584.17
32.56666666666666,69.23333333333333, 11761.2
33.833333333333336,63.6, 26404.6
33.73333333333333,61.36666666666667, 15210.4
33.86666666666667,59.833333333333336, 12867.5
31.833333333333332,74.0, 5115
31.099999999999998,76.2, 4606.25
29.0,87.93333333333334, 2817.5
26.633333333333336,94.3, 631.25
25.433333333333337,94.8, 1.875
24.633333333333336,96.63333333333333, 1.042
24.03333333333333,96.63333333333333, 1.042
23.8,96.63333333333333, 1.042
23.566666666666666,96.63333333333333, 1.042
23.766666666666666,96.63333333333333, 1.042
23.366666666666664,96.63333333333333, 1.042
22.866666666666664,96.63333333333333, 1.042
22.833333333333332,96.63333333333333, 1.042
22.666666666666668,96.63333333333333, 1.042
22.53333333333333,96.63333333333333, 1.042
22.46666666666667,96.63333333333333, 1.042
22.133333333333336,96.3, 97.917
25.833333333333332,95.96666666666665, 2863.75
29.666666666666668,87.03333333333335, 5933.33
33.8,67.43333333333334, 10561.7
,,
,,
,,
36.9,47.93333333333334, 11580
32.93333333333334,63.03333333333333, 7105.83
30.53333333333333,78.2, 5471.25
29.8,79.5, 3389.58
26.633333333333336,94.06666666666666, 586.667
25.166666666666668,95.53333333333335, 5.208
24.566666666666666,96.33333333333333, 1.042
24.099999999999998,96.63333333333333, 1.042
23.8,96.63333333333333, 1.042
24.0,96.63333333333333, 1.042
23.266666666666666,96.63333333333333, 1.042
22.833333333333332,96.63333333333333, 1.042
22.933333333333334,96.63333333333333, 1.042
22.733333333333334,96.63333333333333, 1.042
22.3,96.63333333333333, 1.042
21.833333333333332,96.3, 1.042
21.7,96.3, 1.042
21.366666666666664,95.96666666666665, 120.833
25.03333333333333,95.33333333333333, 2787.92
31.066666666666663,75.96666666666667, 7044.58
34.13333333333333,56.26666666666667, 10892.1
30.46666666666667,73.43333333333334, 7838.75
33.46666666666667,59.56666666666666, 14178.7
35.333333333333336,56.03333333333333, 21898.8
31.53333333333333,70.13333333333334, 5878.75
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
32.166666666666664,76.3, 25955.4
29.3,88.63333333333333, 6242.92
30.03333333333333,89.63333333333333, 27306.2
26.566666666666666,96.3, 5720.83
28.566666666666666,91.3, 22899.6
29.400000000000002,87.96666666666665, -1
31.46666666666667,79.3, -1
30.46666666666667,84.63333333333334, -1
28.2,95.3, -1
26.2,96.63333333333333, -1
25.166666666666668,96.63333333333333, -1
25.133333333333336,96.63333333333333, -1
25.0,96.63333333333333, -1
24.700000000000003,96.63333333333333, -1
24.600000000000005,96.63333333333333, -1
24.53333333333333,96.63333333333333, -1
24.400000000000002,96.63333333333333, -1
24.23333333333333,96.63333333333333, -1
24.100000000000005,96.63333333333333, -1
24.03333333333333,96.63333333333333, -1
23.933333333333334,96.63333333333333, -1
23.53333333333333,96.63333333333333, -1
24.666666666666668,96.63333333333333, -1
26.633333333333336,92.36666666666667, -1
30.166666666666668,87.3, -1
30.2,92.3, -1
30.133333333333336,90.96666666666665, -1
33.76666666666667,68.33333333333333, -1
36.06666666666666,60.666666666666664, -1
32.266666666666666,74.36666666666666, -1
34.1,66.39999999999999, -1
28.933333333333334,93.26666666666667, -1
27.099999999999998,96.63333333333333, -1
25.53333333333333,96.63333333333333, -1
24.8,96.63333333333333, -1
24.233333333333334,96.63333333333333, -1
24.166666666666668,96.63333333333333, -1
24.0,96.63333333333333, -1
23.5,96.63333333333333, -1
23.666666666666668,96.63333333333333, -1
23.46666666666667,96.63333333333333, -1
23.433333333333334,96.63333333333333, -1
23.066666666666666,96.63333333333333, -1
22.633333333333336,96.63333333333333, -1
22.3,96.63333333333333, -1
22.099999999999998,96.3, -1
25.2,96.63333333333333, -1
28.366666666666664,95.96666666666665, -1
32.4,74.03333333333333, -1
32.03333333333333,75.33333333333333, -1
34.300000000000004,69.43333333333334, -1
33.76666666666667,64.23333333333333, -1
36.733333333333334,51.93333333333334, -1
35.43333333333334,55.03333333333333, -1
31.5,72.36666666666666, -1
29.0,93.16666666666667, -1
26.633333333333336,96.63333333333333, -1
25.933333333333334,96.63333333333333, -1
23.599999999999998,96.63333333333333, -2
23.53333333333333,96.63333333333333, -2
23.333333333333332,96.63333333333333, -2
22.766666666666666,96.63333333333333, -2
22.8,96.63333333333333, -2
22.833333333333332,92.36666666666667, -2
22.633333333333336,96.63333333333333, -2
22.600000000000005,96.63333333333333, -2
22.0,96.3, -2
22.03333333333333,96.3, -2
21.633333333333336,96.3, -2
21.3,95.96666666666665, -2
23.5,96.63333333333333, -2
27.933333333333334,93.63333333333333, -2
31.599999999999998,77.76666666666667, -2
33.76666666666667,64.89999999999999, -2
33.36666666666667,67.2, -2
34.43333333333333,63.0, -2
32.86666666666667,73.7, -2
31.8,83.8, -2
26.833333333333332,96.16666666666667, -2
23.46666666666667,96.63333333333333, -2
23.3,96.63333333333333, -2
23.100000000000005,96.63333333333333, -2
23.133333333333336,96.63333333333333, -2
22.8,96.63333333333333, -2
22.7,96.63333333333333, -2
22.666666666666668,96.63333333333333, -2
22.633333333333336,96.63333333333333, -2
22.166666666666668,96.3, -2
22.2,96.3, -2
21.96666666666667,96.3, -2
21.599999999999998,96.3, -2
21.566666666666666,96.3, -2
21.666666666666668,96.3, -2
21.833333333333332,96.3, -2
26.366666666666664,96.63333333333333, -2
32.13333333333333,76.03333333333333, -2
34.03333333333333,62.5, -2
35.96666666666666,55.4, -2
33.166666666666664,69.7, -2
34.1,67.23333333333333, -2
36.03333333333334,70.89999999999999, -2
31.96666666666667,77.53333333333333, -2
25.166666666666668,96.63333333333333, -2
25.766666666666666,96.63333333333333, -2
24.266666666666666,96.63333333333333, -2
24.2,96.63333333333333, -2
23.8,96.63333333333333, -2
22.833333333333332,96.63333333333333, -2
22.666666666666668,96.63333333333333, -2
21.899999999999995,96.3, -2
21.733333333333334,96.3, -2
21.53333333333333,95.96666666666665, -2
21.400000000000002,95.96666666666665, -2
20.900000000000002,95.63333333333333, -2
20.666666666666668,95.63333333333333, -2
20.633333333333336,95.63333333333333, -2
20.366666666666667,95.3, -2
20.400000000000002,95.3, -2
25.166666666666668,96.63333333333333, -2
31.5,82.0, -2
32.43333333333333,75.2, -2
35.53333333333334,59.699999999999996, 15361.7
36.06666666666667,53.13333333333333, 26764.2
31.066666666666663,78.10000000000001, 7381.25
31.599999999999998,67.73333333333333, 7975.83
28.599999999999998,83.16666666666667, 6077.08
31.666666666666668,72.3, 8265.42
28.733333333333334,89.10000000000001, 3123.75
25.933333333333334,95.43333333333334, 356.25
24.566666666666666,96.63333333333333, 2.5
24.5,96.63333333333333, 1.042
24.599999999999998,96.63333333333333, 1.042
24.433333333333334,96.63333333333333, 1.042
24.099999999999998,96.63333333333333, 1.042
23.53333333333333,96.63333333333333, 1.042
23.3,96.63333333333333, 1.042
22.333333333333332,96.63333333333333, 1.042
22.96666666666667,96.63333333333333, 1.042
23.166666666666668,96.63333333333333, 1.042
23.7,96.63333333333333, 1.042
